sample,file_size_bytes,word,method,workers,run,occurrences,time_ms,device,status
"DonQuixote-388208.txt",2225840,"the","SerialCPU","1",1,188,19.554621,"CPU serial","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","1",1,188,24.034249,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","2",1,188,20.507997,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","4",1,188,16.407076,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelGPU","",1,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
"DonQuixote-388208.txt",2225840,"the","SerialCPU","1",2,188,24.607601,"CPU serial","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","1",2,188,24.763700,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","2",2,188,10.555435,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","4",2,188,11.203599,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelGPU","",2,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
"DonQuixote-388208.txt",2225840,"the","SerialCPU","1",3,188,18.364961,"CPU serial","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","1",3,188,19.852955,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","2",3,188,15.909527,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelCPU","4",3,188,11.399242,"ExecutorService","OK"
"DonQuixote-388208.txt",2225840,"the","ParallelGPU","",3,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
"Dracula-165307.txt",890389,"the","SerialCPU","1",1,8104,7.499952,"CPU serial","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","1",1,8104,18.491752,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","2",1,8104,8.190940,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","4",1,8104,6.677058,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelGPU","",1,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
"Dracula-165307.txt",890389,"the","SerialCPU","1",2,8104,6.247685,"CPU serial","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","1",2,8104,7.808972,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","2",2,8104,5.452378,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","4",2,8104,11.329269,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelGPU","",2,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
"Dracula-165307.txt",890389,"the","SerialCPU","1",3,8104,7.558048,"CPU serial","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","1",3,8104,10.067337,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","2",3,8104,5.892614,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelCPU","4",3,8104,9.732054,"ExecutorService","OK"
"Dracula-165307.txt",890389,"the","ParallelGPU","",3,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
"MobyDick-217452.txt",1276285,"the","SerialCPU","1",1,14727,9.328489,"CPU serial","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","1",1,14727,9.840848,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","2",1,14727,6.982445,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","4",1,14727,7.990797,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelGPU","",1,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
"MobyDick-217452.txt",1276285,"the","SerialCPU","1",2,14727,9.286541,"CPU serial","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","1",2,14727,12.218428,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","2",2,14727,11.028895,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","4",2,14727,16.077850,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelGPU","",2,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
"MobyDick-217452.txt",1276285,"the","SerialCPU","1",3,14727,11.835065,"CPU serial","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","1",3,14727,11.609394,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","2",3,14727,7.524170,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelCPU","4",3,14727,10.914437,"ExecutorService","OK"
"MobyDick-217452.txt",1276285,"the","ParallelGPU","",3,0,0.000000,"OpenCL indisponivel","SKIPPED: nenhum dispositivo OpenCL encontrado"
